,Day,Date,VenueType,team2,score,result,OT,Location,Venue,Attendance,team1,season,score2,score1
634,Sat,5/5/1984,H,DenverGold,20-17,W,OT,"Oakland, CA",Oakland-Alameda County Coliseum,19331,OaklandInvaders,1984.0,17.0,20.0
564,Sat,5/5/1984,H,PittsburghMaulers,20-12,W,,"Los Angeles, CA",Memorial Coliseum,16789,LosAngelesExpress,1984.0,12.0,20.0
440,Sat,5/5/1984,H,TampaBayBandits,13-31,L,,"Jacksonville, FL",Gator Bowl,71174,JacksonvilleBulls,1984.0,31.0,13.0
922,Sun,5/5/1985,H,DenverGold,9-35,L,,"San Antonio, TX",Alamo Stadium,9753,SanAntonioGunslingers,1985.0,35.0,9.0
812,Sun,5/5/1985,A,OrlandoRenegades,21-7,W,,"Orlando, FL",Orlando Stadium,21085,OaklandInvaders,1985.0,7.0,21.0
882,Sun,5/5/1985,A,BaltimoreStars,19-24,L,,"College Park, MD",Byrd Stadium,14432,ArizonaOutlaws,1985.0,24.0,19.0
772,Sun,5/5/1985,H,NewJerseyGenerals,30-20,W,,"Jacksonville, FL",Gator Bowl,60100,JacksonvilleBulls,1985.0,20.0,30.0
482,Sun,5/6/1984,H,HoustonGamblers,31-28,W,OT,"Pontiac, MI",Pontiac Silverdome,29038,MichiganPanthers,1984.0,28.0,31.0
544,Sun,5/6/1984,A,SanAntonioGunslingers,21-30,L,,"San Antonio, TX",Alamo Stadium,15231,ChicagoBlitz,1984.0,30.0,21.0
420,Sun,5/6/1984,A,WashingtonFederals,13-10,W,OT,"Washington, DC",RFK Stadium,4432,MemphisShowboats,1984.0,10.0,13.0
524,Sun,5/6/1984,A,NewJerseyGenerals,17-49,L,,"East Rutherford, NJ",Giants Stadium,34917,OklahomaOutlaws,1984.0,49.0,17.0
353,Sun,5/6/1984,H,PhiladelphiaStars,11-43,L,,"Birmingham, AL",Legion Field,49500,BirminghamStallions,1984.0,43.0,11.0
902,Mon,5/6/1985,H,HoustonGamblers,7-45,L,,"Portland, OR",Civic Stadium,18457,PortlandBreakers,1985.0,45.0,7.0
1099,Fri,5/6/2022,A,MichiganPanthers,26-25,W,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,25.0,26.0
203,Sat,5/7/1983,H,BostonBreakers,23-20,W,,"Los Angeles, CA",Memorial Coliseum,16307,LosAngelesExpress,1983.0,20.0,23.0
243,Sat,5/7/1983,H,MichiganPanthers,10-21,L,,"Tempe, AZ",Sun Devil Stadium,20423,ArizonaWranglers,1983.0,21.0,10.0
588,Mon,5/7/1984,A,NewOrleansBreakers,28-13,W,,"New Orleans, LA",Louisiana Superdome,22937,ArizonaWranglers,1984.0,13.0,28.0
995,Sat,5/7/2022,A,BirminghamStallions,10-16,L,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,16.0,10.0
1035,Sat,5/7/2022,H,NewJerseyGenerals,13-21,L,,"Birmingham, AL",Protective Stadium,,PittsburghMaulers,2022.0,21.0,13.0
1073,Sat,5/7/2022,A,BirminghamStallions,10-16,L,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,16.0,10.0
181,Sun,5/8/1983,H,TampaBayBandits,10-17,L,,"Oakland, CA",Oakland-Alameda County Coliseum,26989,OaklandInvaders,1983.0,17.0,10.0
119,Sun,5/8/1983,H,WashingtonFederals,31-3,W,,"Chicago, IL",Soldier Field,11030,ChicagoBlitz,1983.0,3.0,31.0
223,Sun,5/8/1983,A,PhiladelphiaStars,3-6,L,,"Philadelphia, PA",Veterans Stadium,14306,DenverGold,1983.0,6.0,3.0
1085,Sun,5/8/2022,H,HoustonGamblers,23-16,W,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,16.0,23.0
161,Mon,5/9/1983,A,NewJerseyGenerals,22-7,W,,"East Rutherford, NJ",Giants Stadium,38734,BirminghamStallions,1983.0,7.0,22.0
508,Fri,6/1/1984,H,MichiganPanthers,17-23,L,OT,"San Antonio, TX",Alamo Stadium,16384,SanAntonioGunslingers,1984.0,23.0,17.0
424,Fri,6/1/1984,H,NewOrleansBreakers,20-17,W,,"Memphis, TN",Liberty Bowl,31198,MemphisShowboats,1984.0,17.0,20.0
796,Sat,6/1/1985,H,TampaBayBandits,37-7,W,,"Orlando, FL",Orlando Stadium,26847,OrlandoRenegades,1985.0,7.0,37.0
926,Sat,6/1/1985,A,ArizonaOutlaws,3-13,L,,"Tempe, AZ",Sun Devil Stadium,11151,SanAntonioGunslingers,1985.0,13.0,3.0
704,Sat,6/1/1985,A,NewJerseyGenerals,7-17,L,,"East Rutherford, NJ",Giants Stadium,45682,MemphisShowboats,1985.0,17.0,7.0
405,Sun,6/10/1984,A,NewJerseyGenerals,21-31,L,,"East Rutherford, NJ",Giants Stadium,23114,NewOrleansBreakers,1984.0,31.0,21.0
549,Sun,6/10/1984,A,HoustonGamblers,13-38,L,,"Houston, TX",Astrodome,24243,ChicagoBlitz,1984.0,38.0,13.0
358,Sun,6/10/1984,H,WashingtonFederals,42-21,W,,"Birmingham, AL",Legion Field,22100,BirminghamStallions,1984.0,21.0,42.0
569,Sun,6/10/1984,A,OklahomaOutlaws,17-10,W,,"Tulsa, OK",Skelly Stadium,22017,LosAngelesExpress,1984.0,10.0,17.0
777,Mon,6/10/1985,A,NewJerseyGenerals,24-31,L,,"East Rutherford, NJ",Giants Stadium,36465,JacksonvilleBulls,1985.0,31.0,24.0
248,Sat,6/11/1983,H,WashingtonFederals,11-18,L,,"Tempe, AZ",Sun Devil Stadium,16656,ArizonaWranglers,1983.0,18.0,11.0
509,Mon,6/11/1984,A,PittsburghMaulers,21-3,W,,"Pittsburgh, PA",Three Rivers Stadium,17148,SanAntonioGunslingers,1984.0,3.0,21.0
974,Sat,6/11/2022,A,BirminghamStallions,17-15,W,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,15.0,17.0
1066,Sat,6/11/2022,A,BirminghamStallions,17-15,W,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,15.0,17.0
1028,Sat,6/11/2022,H,NewJerseyGenerals,23-25,L,,"Birmingham, AL",Protective Stadium,,MichiganPanthers,2022.0,25.0,23.0
146,Sun,6/12/1983,A,ChicagoBlitz,8-31,L,,"Chicago, IL",Soldier Field,21249,TampaBayBandits,1983.0,31.0,8.0
208,Sun,6/12/1983,H,MichiganPanthers,17-42,L,,"Los Angeles, CA",Memorial Coliseum,16023,LosAngelesExpress,1983.0,42.0,17.0
60,Sun,6/12/1983,H,PhiladelphiaStars,9-23,L,,"East Rutherford, NJ",Giants Stadium,32521,NewJerseyGenerals,1983.0,23.0,9.0
166,Sun,6/12/1983,H,BostonBreakers,31-19,W,,"Birmingham, AL",Legion Field,20500,BirminghamStallions,1983.0,19.0,31.0
1104,Sun,6/12/2022,A,PittsburghMaulers,17-16,W,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,16.0,17.0
1090,Sun,6/12/2022,H,TampaBayBandits,17-6,W,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,6.0,17.0
228,Mon,6/13/1983,A,OaklandInvaders,10-16,L,,"Oakland, CA",Oakland-Alameda County Coliseum,26840,DenverGold,1983.0,16.0,10.0
908,Fri,6/14/1985,H,DenverGold,23-17,W,,"Portland, OR",Civic Stadium,18953,PortlandBreakers,1985.0,17.0,23.0
594,Fri,6/15/1984,A,ChicagoBlitz,36-0,W,,"Chicago, IL",Soldier Field,5711,ArizonaWranglers,1984.0,0.0,36.0
640,Fri,6/15/1984,A,LosAngelesExpress,19-24,L,,"Los Angeles, CA",Memorial Coliseum,14794,OaklandInvaders,1984.0,24.0,19.0
319,Fri,6/15/1984,A,PhiladelphiaStars,8-31,L,,"Philadelphia, PA",Veterans Stadium,22582,WashingtonFederals,1984.0,31.0,8.0
446,Fri,6/15/1984,A,NewOrleansBreakers,20-17,W,OT,"New Orleans, LA",Louisiana Superdome,21233,JacksonvilleBulls,1984.0,17.0,20.0
756,Sat,6/15/1985,H,BirminghamStallions,17-14,W,,"Tampa, FL",Tampa Stadium,24000,TampaBayBandits,1985.0,14.0,17.0
778,Sat,6/15/1985,A,MemphisShowboats,0-31,L,,"Memphis, TN",Liberty Bowl,31634,JacksonvilleBulls,1985.0,31.0,0.0
798,Sat,6/15/1985,A,BaltimoreStars,10-41,L,,"College Park, MD",Byrd Stadium,6988,OrlandoRenegades,1985.0,41.0,10.0
818,Sat,6/15/1985,H,NewJerseyGenerals,34-29,W,,"Oakland, CA",Oakland-Alameda County Coliseum,24338,OaklandInvaders,1985.0,29.0,34.0
948,Sat,6/15/1985,H,ArizonaOutlaws,10-21,L,,"Los Angeles, CA",Shephard Stadium,8200,LosAngelesExpress,1985.0,21.0,10.0
383,Sat,6/16/1984,A,PittsburghMaulers,21-9,W,,"Pittsburgh, PA",Three Rivers Stadium,16832,TampaBayBandits,1984.0,9.0,21.0
620,Sat,6/16/1984,A,NewJerseyGenerals,7-27,L,,"East Rutherford, NJ",Giants Stadium,28915,DenverGold,1984.0,27.0,7.0
426,Sat,6/16/1984,H,BirminghamStallions,20-35,L,,"Memphis, TN",Liberty Bowl,50079,MemphisShowboats,1984.0,35.0,20.0
167,Fri,6/17/1983,H,ChicagoBlitz,14-29,L,,"Birmingham, AL",Legion Field,22500,BirminghamStallions,1983.0,29.0,14.0
249,Fri,6/17/1983,A,DenverGold,6-32,L,,"Denver, CO",Mile High Stadium,42621,ArizonaWranglers,1983.0,32.0,6.0
209,Fri,6/17/1983,A,NewJerseyGenerals,13-20,L,,"East Rutherford, NJ",Giants Stadium,31807,LosAngelesExpress,1983.0,20.0,13.0
928,Mon,6/17/1985,A,HoustonGamblers,21-49,L,,"Houston, TX",Astrodome,11780,SanAntonioGunslingers,1985.0,49.0,21.0
530,Mon,6/18/1984,A,MichiganPanthers,24-34,L,,"Pontiac, MI",Pontiac Silverdome,15838,OklahomaOutlaws,1984.0,34.0,24.0
510,Mon,6/18/1984,A,HoustonGamblers,26-29,L,,"Houston, TX",Astrodome,30184,SanAntonioGunslingers,1984.0,29.0,26.0
1013,Sat,6/18/2022,A,NewJerseyGenerals,23-26,L,,"Birmingham, AL",Legion Field,,PhiladelphiaStars,2022.0,26.0,23.0
1001,Sat,6/18/2022,H,BirminghamStallions,18-21,L,,"Birmingham, AL",Legion Field,,TampaBayBandits,2022.0,21.0,18.0
1105,Sat,6/18/2022,A,NewJerseyGenerals,23-26,L,,"Birmingham, AL",Legion Field,,PhiladelphiaStars,2022.0,26.0,23.0
1079,Sat,6/18/2022,H,BirminghamStallions,18-21,L,,"Birmingham, AL",Legion Field,,TampaBayBandits,2022.0,21.0,18.0
147,Sun,6/19/1983,A,BostonBreakers,17-24,L,,"Boston, MA",Nickerson Field,15530,TampaBayBandits,1983.0,24.0,17.0
1091,Sun,6/19/2022,A,HoustonGamblers,3-20,L,,"Birmingham, AL",Legion Field,,NewOrleansBreakers,2022.0,20.0,3.0
1041,Sun,6/19/2022,H,MichiganPanthers,21-33,L,,"Birmingham, AL",Legion Field,,PittsburghMaulers,2022.0,33.0,21.0
638,Sat,6/2/1984,H,JacksonvilleBulls,17-12,W,,"Oakland, CA",Oakland-Alameda County Coliseum,29687,OaklandInvaders,1984.0,12.0,17.0
548,Sat,6/2/1984,A,OklahomaOutlaws,14-0,W,,"Tulsa, OK",Skelly Stadium,17195,ChicagoBlitz,1984.0,0.0,14.0
776,Sun,6/2/1985,A,BaltimoreStars,12-17,L,,"College Park, MD",Byrd Stadium,9663,JacksonvilleBulls,1985.0,17.0,12.0
906,Sun,6/2/1985,A,OaklandInvaders,20-38,L,,"Oakland, CA",Oakland-Alameda County Coliseum,12740,PortlandBreakers,1985.0,38.0,20.0
187,Mon,6/20/1983,A,PhiladelphiaStars,6-12,L,,"Philadelphia, PA",Veterans Stadium,16933,OaklandInvaders,1983.0,12.0,6.0
101,Mon,6/20/1983,H,WashingtonFederals,27-25,W,,"Pontiac, MI",Pontiac Silverdome,26418,MichiganPanthers,1983.0,25.0,27.0
949,Fri,6/21/1985,A,OrlandoRenegades,10-17,L,,"Orlando, FL",Orlando Stadium,22865,LosAngelesExpress,1985.0,17.0,10.0
447,Fri,6/22/1984,H,PittsburghMaulers,26-2,W,,"Jacksonville, FL",Gator Bowl,31843,JacksonvilleBulls,1984.0,2.0,26.0
641,Fri,6/22/1984,A,DenverGold,7-20,L,,"Denver, CO",Mile High Stadium,32623,OaklandInvaders,1984.0,20.0,7.0
889,Sat,6/22/1985,A,MemphisShowboats,28-38,L,,"Memphis, TN",Liberty Bowl,32743,ArizonaOutlaws,1985.0,38.0,28.0
595,Sat,6/23/1984,H,LosAngelesExpress,35-10,W,,"Tempe, AZ",Sun Devil Stadium,35258,ArizonaWranglers,1984.0,10.0,35.0
845,Sun,6/23/1985,A,JacksonvilleBulls,6-42,L,,"Jacksonville, FL",Gator Bowl,32428,DenverGold,1985.0,42.0,6.0
757,Sun,6/23/1985,A,BaltimoreStars,10-38,L,,"College Park, MD",Byrd Stadium,12647,TampaBayBandits,1985.0,38.0,10.0
685,Sun,6/23/1985,H,BirminghamStallions,6-14,L,,"East Rutherford, NJ",Giants Stadium,44098,NewJerseyGenerals,1985.0,14.0,6.0
929,Sun,6/23/1985,H,PortlandBreakers,21-13,W,,"San Antonio, TX",Alamo Stadium,19603,SanAntonioGunslingers,1985.0,13.0,21.0
531,Sun,6/24/1984,A,SanAntonioGunslingers,0-23,L,,"San Antonio, TX",Alamo Stadium,21625,OklahomaOutlaws,1984.0,23.0,0.0
298,Sun,6/24/1984,A,PhiladelphiaStars,16-10,W,,"Philadelphia, PA",Veterans Stadium,37758,NewJerseyGenerals,1984.0,10.0,16.0
551,Sun,6/24/1984,H,MichiganPanthers,17-20,L,,"Chicago, IL",Soldier Field,5557,ChicagoBlitz,1984.0,20.0,17.0
407,Sun,6/24/1984,A,WashingtonFederals,17-20,L,,"Washington, DC",RFK Stadium,6386,NewOrleansBreakers,1984.0,20.0,17.0
384,Sun,6/24/1984,A,BirminghamStallions,17-16,W,,"Birmingham, AL",Legion Field,24500,TampaBayBandits,1984.0,16.0,17.0
867,Mon,6/24/1985,H,OaklandInvaders,21-31,L,,"Houston, TX",Astrodome,15797,HoustonGamblers,1985.0,31.0,21.0
188,Sat,6/25/1983,H,BostonBreakers,17-16,W,,"Oakland, CA",Oakland-Alameda County Coliseum,30396,OaklandInvaders,1983.0,16.0,17.0
250,Sat,6/25/1983,A,NewJerseyGenerals,14-21,L,,"East Rutherford, NJ",Giants Stadium,30612,ArizonaWranglers,1983.0,21.0,14.0
467,Mon,6/25/1984,H,MemphisShowboats,37-3,W,,"Houston, TX",Astrodome,22963,HoustonGamblers,1984.0,3.0,37.0
989,Sat,6/25/2022,A,BirminghamStallions,17-31,L,,"Canton, OH",Tom Benson Hall of Fame Stadium,,NewOrleansBreakers,2022.0,31.0,17.0
1015,Sat,6/25/2022,A,NewJerseyGenerals,19-14,W,,"Canton, OH",Tom Benson Hall of Fame Stadium,,PhiladelphiaStars,2022.0,14.0,19.0
1107,Sat,6/25/2022,A,NewJerseyGenerals,19-14,W,,"Canton, OH",Tom Benson Hall of Fame Stadium,,PhiladelphiaStars,2022.0,14.0,19.0
1055,Sat,6/25/2022,A,BirminghamStallions,17-31,L,,"Canton, OH",Tom Benson Hall of Fame Stadium,,NewOrleansBreakers,2022.0,31.0,17.0
1093,Sat,6/25/2022,A,BirminghamStallions,17-31,L,,"Canton, OH",Tom Benson Hall of Fame Stadium,,NewOrleansBreakers,2022.0,31.0,17.0
168,Sun,6/26/1983,A,PhiladelphiaStars,10-31,L,,"Philadelphia, PA",Veterans Stadium,17973,BirminghamStallions,1983.0,31.0,10.0
126,Sun,6/26/1983,H,MichiganPanthers,19-34,L,,"Chicago, IL",Soldier Field,25041,ChicagoBlitz,1983.0,34.0,19.0
210,Sun,6/26/1983,A,WashingtonFederals,21-28,L,,"Washington, DC",RFK Stadium,9792,LosAngelesExpress,1983.0,28.0,21.0
230,Mon,6/27/1983,A,TampaBayBandits,23-26,L,,"Tampa, FL",Tampa Stadium,46128,DenverGold,1983.0,26.0,23.0
869,Sat,6/29/1985,A,BirminghamStallions,20-22,L,,"Birmingham, AL",Legion Field,18500,HoustonGamblers,1985.0,22.0,20.0
227,Fri,6/3/1983,H,WashingtonFederals,24-12,W,,"Denver, CO",Mile High Stadium,40671,DenverGold,1983.0,12.0,24.0
592,Sun,6/3/1984,A,BirminghamStallions,38-28,W,,"Birmingham, AL",Legion Field,32500,ArizonaWranglers,1984.0,28.0,38.0
568,Sun,6/3/1984,A,WashingtonFederals,35-21,W,,"Washington, DC",RFK Stadium,5263,LosAngelesExpress,1984.0,21.0,35.0
381,Sun,6/3/1984,H,NewJerseyGenerals,40-14,W,,"Tampa, FL",Tampa Stadium,45255,TampaBayBandits,1984.0,14.0,40.0
618,Sun,6/3/1984,H,HoustonGamblers,20-36,L,,"Denver, CO",Mile High Stadium,50057,DenverGold,1984.0,36.0,20.0
864,Mon,6/3/1985,H,BirminghamStallions,27-29,L,,"Houston, TX",Astrodome,13202,HoustonGamblers,1985.0,29.0,27.0
1039,Fri,6/3/2022,A,NewJerseyGenerals,18-29,L,,"Birmingham, AL",Legion Field,,PittsburghMaulers,2022.0,29.0,18.0
300,Sat,6/30/1984,A,PhiladelphiaStars,7-28,L,,"Philadelphia, PA",Franklin Field,19038,NewJerseyGenerals,1984.0,28.0,7.0
573,Sat,6/30/1984,H,MichiganPanthers,27-21,W,3OT,"Los Angeles, CA",Memorial Coliseum,7964,LosAngelesExpress,1984.0,21.0,27.0
821,Sun,6/30/1985,H,TampaBayBandits,30-27,W,,"Oakland, CA",Oakland-Alameda County Coliseum,19346,OaklandInvaders,1985.0,27.0,30.0
847,Sun,6/30/1985,A,MemphisShowboats,7-48,L,,"Memphis, TN",Liberty Bowl,34528,DenverGold,1985.0,48.0,7.0
185,Sat,6/4/1983,H,NewJerseyGenerals,34-21,W,,"Oakland, CA",Oakland-Alameda County Coliseum,32908,OaklandInvaders,1983.0,21.0,34.0
337,Mon,6/4/1984,A,PhiladelphiaStars,17-23,L,,"Philadelphia, PA",Veterans Stadium,30102,PittsburghMaulers,1984.0,23.0,17.0
985,Sat,6/4/2022,A,BirminghamStallions,9-10,L,,"Birmingham, AL",Legion Field,,NewOrleansBreakers,2022.0,10.0,9.0
1051,Sat,6/4/2022,A,BirminghamStallions,9-10,L,,"Birmingham, AL",Legion Field,,NewOrleansBreakers,2022.0,10.0,9.0
1089,Sat,6/4/2022,A,BirminghamStallions,9-10,L,,"Birmingham, AL",Legion Field,,NewOrleansBreakers,2022.0,10.0,9.0
99,Sun,6/5/1983,A,PhiladelphiaStars,20-29,L,,"Philadelphia, PA",Veterans Stadium,19727,MichiganPanthers,1983.0,29.0,20.0
165,Sun,6/5/1983,A,TampaBayBandits,17-45,L,,"Tampa, FL",Tampa Stadium,35623,BirminghamStallions,1983.0,45.0,17.0
247,Sun,6/5/1983,A,LosAngelesExpress,13-17,L,,"Los Angeles, CA",Memorial Coliseum,13826,ArizonaWranglers,1983.0,17.0,13.0
1103,Sun,6/5/2022,H,MichiganPanthers,46-24,W,,"Birmingham, AL",Legion Field,,PhiladelphiaStars,2022.0,24.0,46.0
1077,Sun,6/5/2022,H,HoustonGamblers,13-3,W,,"Birmingham, AL",Legion Field,,TampaBayBandits,2022.0,3.0,13.0
123,Mon,6/6/1983,A,BostonBreakers,15-21,L,,"Boston, MA",Nickerson Field,15087,ChicagoBlitz,1983.0,21.0,15.0
797,Fri,6/7/1985,A,MemphisShowboats,17-41,L,,"Memphis, TN",Liberty Bowl,23216,OrlandoRenegades,1985.0,41.0,17.0
593,Fri,6/8/1984,H,JacksonvilleBulls,45-14,W,,"Tempe, AZ",Sun Devil Stadium,15513,ArizonaWranglers,1984.0,14.0,45.0
619,Fri,6/8/1984,H,PhiladelphiaStars,19-21,L,,"Denver, CO",Mile High Stadium,30755,DenverGold,1984.0,21.0,19.0
887,Sat,6/8/1985,H,OaklandInvaders,28-21,W,,"Tempe, AZ",Sun Devil Stadium,10591,ArizonaOutlaws,1985.0,21.0,28.0
907,Sat,6/8/1985,H,TampaBayBandits,27-24,W,,"Portland, OR",Civic Stadium,15521,PortlandBreakers,1985.0,24.0,27.0
729,Sat,6/8/1985,A,BirminghamStallions,7-14,L,,"Birmingham, AL",Legion Field,24300,BaltimoreStars,1985.0,14.0,7.0
639,Sat,6/9/1984,H,MichiganPanthers,20-13,W,,"Oakland, CA",Oakland-Alameda County Coliseum,23918,OaklandInvaders,1984.0,13.0,20.0
425,Sat,6/9/1984,A,TampaBayBandits,24-42,L,,"Tampa, FL",Tampa Stadium,48785,MemphisShowboats,1984.0,42.0,24.0
865,Sun,6/9/1985,A,DenverGold,13-16,L,,"Denver, CO",Mile High Stadium,12553,HoustonGamblers,1985.0,16.0,13.0
947,Sun,6/9/1985,A,SanAntonioGunslingers,27-31,L,,"San Antonio, TX",Alamo Stadium,4963,LosAngelesExpress,1985.0,31.0,27.0
386,Sun,7/1/1984,A,BirminghamStallions,17-36,L,,"Birmingham, AL",Legion Field,32000,TampaBayBandits,1984.0,36.0,17.0
597,Sun,7/1/1984,A,HoustonGamblers,17-16,W,,"Houston, TX",Astrodome,32713,ArizonaWranglers,1984.0,16.0,17.0
733,Mon,7/1/1985,A,NewJerseyGenerals,20-17,W,,"East Rutherford, NJ",Giants Stadium,26982,BaltimoreStars,1985.0,17.0,20.0
191,Sun,7/10/1983,A,MichiganPanthers,21-37,L,,"Pontiac, MI",Pontiac Silverdome,60237,OaklandInvaders,1983.0,37.0,21.0
825,Sun,7/14/1985,N,BaltimoreStars,24-28,L,,"East Rutherford, NJ",Giants Stadium,49263,OaklandInvaders,1985.0,28.0,24.0
601,Sun,7/15/1984,N,PhiladelphiaStars,3-23,L,,"Tampa, FL",Tampa Stadium,52661,ArizonaWranglers,1984.0,23.0,3.0
107,Sun,7/17/1983,N,PhiladelphiaStars,24-22,W,,"Denver, CO",Mile High Stadium,50906,MichiganPanthers,1983.0,22.0,24.0
169,Sat,7/2/1983,H,TampaBayBandits,29-17,W,,"Birmingham, AL",Legion Field,20300,BirminghamStallions,1983.0,17.0,29.0
387,Sat,7/21/1984,N,PhiladelphiaStars,21-24,L,,"London, England",Wembley Stadium,21000,TampaBayBandits,1984.0,24.0,21.0
251,Sat,7/3/1983,A,MichiganPanthers,7-33,L,,"Pontiac, MI",Pontiac Silverdome,31905,ArizonaWranglers,1983.0,33.0,7.0
231,Sun,7/3/1983,A,LosAngelesExpress,14-21,L,,"Los Angeles, CA",Memorial Coliseum,11471,DenverGold,1983.0,21.0,14.0
189,Sun,7/3/1983,A,ChicagoBlitz,7-31,L,,"Chicago, IL",Soldier Field,12346,OaklandInvaders,1983.0,31.0,7.0
63,Sun,7/3/1983,A,BostonBreakers,10-34,L,,"Boston, MA",Nickerson Field,15798,NewJerseyGenerals,1983.0,34.0,10.0
83,Sun,7/3/1983,H,PhiladelphiaStars,21-14,W,,"Washington, DC",RFK Stadium,11039,WashingtonFederals,1983.0,14.0,21.0
1109,Sun,7/3/2022,H,BirminghamStallions,33-30,W,,"Canton, OH",Tom Benson Hall of Fame Stadium,,PhiladelphiaStars,2022.0,30.0,33.0
1017,Sun,7/3/2022,H,BirminghamStallions,33-30,W,,"Canton, OH",Tom Benson Hall of Fame Stadium,,PhiladelphiaStars,2022.0,30.0,33.0
823,Sat,7/6/1985,A,MemphisShowboats,28-19,W,,"Memphis, TN",Liberty Bowl,37796,OaklandInvaders,1985.0,19.0,28.0
599,Sat,7/7/1984,H,LosAngelesExpress,35-25,W,,"Tempe, AZ",Sun Devil Stadium,33188,ArizonaWranglers,1984.0,25.0,35.0
735,Sun,7/7/1985,A,BirminghamStallions,28-14,W,,"Birmingham, AL",Legion Field,23250,BaltimoreStars,1985.0,14.0,28.0
364,Sun,7/8/1984,A,PhiladelphiaStars,10-20,L,,"Philadelphia, PA",Franklin Field,26616,BirminghamStallions,1984.0,20.0,10.0
129,Sat,7/9/1983,A,PhiladelphiaStars,38-44,L,OT,"Philadelphia, PA",Veterans Stadium,15684,ChicagoBlitz,1983.0,44.0,38.0
